firstPole=,-628000,inputFreq=,3125,clkPeriod=,7.8125e-06,tRiseFall=,7.8125e-08
0
8
9
10
11
12
13
14
15
15
15
15
15
15
15
14
13
12
11
10
9
8
6
5
4
3
2
1
1
0
0
0
0
0
0
1
1
2
3
4
5
7
8
9
10
11
12
13
14
15
15
15
15
15
15
15
14
13
12
11
10
9
8
6
5
4
3
2
1
1
0
0
0
0
0
0
1
1
2
3
4
6
7
8
9
10
11
12
13
14
15
15
15
15
15
15
15
14
13
12
11
10
9
8
6
5
4
3
2
1
1
0
0
0
0
0
0
1
1
2
3
4
6
7
8
9
10
12
13
13
14
15
15
15
15
15
15
15
14
13
12
11
10
9
8
6
5
4
3
2
1
1
0
0
0
0
0
0
1
1
2
3
4
6
7
8
9
10
12
13
13
14
15
15
15
15
15
15
15
14
13
12
11
10
9
8
6
5
4
3
2
1
0
0
0
0
0
0
0
1
2
2
3
5
6
7
8
9
11
12
13
13
14
15
15
15
15
15
15
15
14
13
12
11
10
9
7
6
5
4
3
2
1
0
0
0
0
0
0
0
1
2
2
3
5
6
7
8
9
11
12
13
14
14
15
15
15
15
15
15
14
14
13
12
11
10
9
7
6
5
4
3
2
1
0
0
0
0
0
0
0
1
2
2
4
5
6
7
8
9
11
12
13
14
14
15
15
15
15
15
15
14
14
13
12
11
10
9
7
6
5
4
3
2
1
0
0
0
0
0
0
0
1
2
3
4
5
6
7
8
9
11
12
13
14
14
15
15
15
15
15
15
14
14
13
12
11
10
9
7
6
5
4
3
2
1
0
0
0
0
0
0
0
1
2
3
4
5
6
7
8
10
11
12
13
14
14
15
15
15
15
15
15
14
14
13
12
11
10
8
7
6
5
4
3
2
1
0
0
0
0
0
0
0
1
2
3
4
5
6
7
8
10
11
12
13
14
14
15
15
15
15
15
15
14
14
13
12
11
10
8
7
6
5
4
3
2
1
0
0
0
0
0
0
0
1
2
3
4
5
6
7
8
10
11
12
13
14
14
15
15
15
15
15
15
14
14
13
12
11
10
8
7
6
5
4
3
2
1
0
0
0
0
0
0
0
1
2
3
4
5
6
7
8
10
11
12
13
14
14
15
15
15
15
15
15
14
14
13
12
11
10
8
7
6
5
4
3
2
1
0
0
0
0
0
0
0
1
2
3
4
5
6
7
9
10
11
12
13
14
14
15
15
15
15
15
15
14
14
13
12
11
9
8
7
6
5
4
3
2
1
0
0
0
0
0
0
0
1
2
3
4
5
6
7
9
10
11
12
13
14
14
15
15
15
15
15
15
14
14
13
12
11
9
8
7
6
5
4
2
2
1
0
0
0
0
0
0
0
1
2
3
4
5
6
7
9
10
11
12
13
14
14
15
15
15
15
15
15
14
14
13
12
11
9
8
7
6
5
3
2
2
1
0
0
0
0
0
0
0
1
2
3
4
5
6
7
9
10
11
12
13
14
15
15
15
15
15
15
15
14
13
13
12
10
9
8
7
6
5
3
2
2
1
0
0
0
0
0
0
0
1
2
3
4
5
6
8
9
10
11
12
13
14
15
15
15
15
15
15
15
14
13
13
12
10
9
8
7
6
4
3
2
1
1
0
0
0
0
0
0
1
1
2
3
4
5
6
8
9
10
11
12
13
14
15
15
15
15
15
15
15
14
13
13
12
10
9
8
7
6
4
3
2
1
1
0
0
0
0
0
0
1
1
2
3
4
5
6
8
9
10
11
12
13
14
15
15
15
15
15
15
15
14
13
12
11
10
9
8
7
6
4
3
2
1
1
0
0
0
0
0
0
1
1
2
3
4
5
6
8
9
10
11
12
13
14
15
15
15
15
15
15
15
14
13
12
11
10
9
8
7
5
4
3
2
1
1
0
0
0
0
0
0
1
1
2
3
4
5
7
8
9
10
11
12
13
14
15
15
15
15
15
15
15
14
13
12
11
10
9
8
7
5
4
3
2
1
1
0
0
0
0
0
0
1
1
2
3
4
5
7
8
9
10
11
12
13
14
15
15
15
15
15
15
15
14
13
12
11
10
9
8
7
5
4
3
2
1
1
0
0
0
0
0
0
1
1
2
3
4
5
7
8
9
10
11
12
13
14
15
15
15
15
15
15
15
14
13
12
11
10
9
8
7
5
4
3
2
1
1
0
0
0
0
0
0
1
1
2
3
4
5
7
8
9
10
11
12
13
14
15
15
15
15
15
15
15
14
13
12
11
10
9
8
6
5
4
3
2
1
1
0
0
0
0
0
0
1
1
2
3
4
6
7
8
9
10
11
12
13
14
15
15
15
15
15
15
15
14
13
12
11
10
9
8
6
5
4
3
2
1
1
0
0
0
0
0
0
1
1
2
3
4
6
7
8
9
10
11
13
13
14
15
15
15
15
15
15
15
14
13
12
11
10
9
8
6
5
4
3
2
1
1
0
0
0
0
0
0
1
1
2
3
4
6
7
8
9
10
12
13
13
14
15
15
15
15
15
15
15
14
13
12
11
10
9
8
6
5
4
3
2
1
0
0
0
0
0
0
0
1
2
2
3
4
6
7
8
9
10
12
13
13
14
15
15
15
15
15
15
15
14
13
12
11
10
9
7
6
5
4
3
2
1
0
0
0
0
0
0
0
1
2
2
3
5
6
7
8
9
11
12
13
14
14
15
15
15
15
15
15
14
14
13
12
11
10
9
7
6
5
4
3
2
1
0
0
0
0
0
0
0
1
2
2
3
5
6
7
8
9
11
12
13
14
14
15
15
15
15
15
15
14
14
13
12
11
10
9
7
6
5
4
3
2
1
0
0
0
0
0
0
0
1
2
3
4
5
6
7
8
9
11
12
13
14
14
15
15
